sentences,processed_sentences,risk_label
The increases before that were caused by skyrocketing materials costs that affected construction projects nationwide.,the increase before that be cause by skyrocket material cost that affect construction project nationwide,1
"""you don't want to miss the in-water work window. you want to be done on time,"" he said. ""you make it, or you lose a year. """,you do not want to miss the in water work window you want to be do on time he say you make it or you lose a year,1
disputed contracts stretch back years. one 1983 dispute did not get resolved until may. another contract in negotiation goes back even earlier.,dispute contract stretch back year one dispute do not get resolve until may another contract in negotiation go back even early,1
or you discover methane gas or a sinkhole - as happened in los angeles. unanticipated discoveries like these could delay the project and add enormously to the cost.,or you discover methane gas or a sinkhole as happen in los angeles unanticipated discovery like these could delay the project and add enormously to the cost,1
"scheduling the work on the line, which crosses myriad jurisdictions, was the first headache. the team had to coordinate with various municipalities, agencies and utilities that own and operate facilities along the corridor.",schedule the work on the line which cross myriad jurisdiction be the first headache the team have to coordinate with various municipality agency and utility that own and operate facility along the corridor,1
the mwaa said that the subcontractors will bear all the material and labor costs necessary to repair the panels. ,the mwaa say that the subcontractor will bear all the material and labor cost necessary to repair the panel,1
" ""because it's an active rail corridor, you can't just run out whenever you want to get survey. you have to collect your survey as you can, between trains.",because it be an active rail corridor you can not just run out whenever you want to get survey you have to collect your survey as you can between train,1
"""on the other hand, in 2004 voters voted on a northwest rail line with a stop in downtown louisville. that is currently unfunded and in limbo, and there's a lot of frustration with that.",on the other hand in voter vote on a northwest rail line with a stop in downtown louisville that be currently unfunded and in limbo and there be a lot of frustration with that,1
"a construction worker was killed, his co- worker injured when the two fell from a concrete platform attached to a 40- story high rise condo under construction.",a construction worker be kill his co worker injure when the two fall from a concrete platform attach to a story high rise condo under construction,1
a lack of transition between two supporting structures is blamed for a nearly 3-in. settlement in a section of a station platform in the los angeles blue line light-rail system.,a lack of transition between two support structure be blame for a nearly in settlement in a section of a station platform in the los angeles blue line light rail system,1
"after the budget for fastracks was created in 2003, costs increased for materials such as copper, concrete and steel. ",after the budget for fastrack be create in cost increase for material such as copper concrete and steel,1
"but airlines became skittish about contributing $200 million for the connection for fear that would lead to increased landing fees, according to bart spokesman mike healy. airline industry lobbyists took to washington, d.c. and the extension stalled again.",but airline become skittish about contribute million for the connection for fear that would lead to increase landing fee accord to bart spokesman mike healy airline industry lobbyist take to washington d c and the extension stall again,1
"if a review panel's study determines tunneling work already performed on the system by tutor-saliba was substandard, the agency can terminate the contracts.",if a review panel s study determine tunneling work already perform on the system by tutor saliba be substandard the agency can terminate the contract,1
"he said part of the gap could be filled by reducing expenses, itself a difficult proposition since the m.t.a.'s contract with its largest labor union, local 100 of the transport workers union, expires in december.",he say part of the gap could be fill by reduce expense itself a difficult proposition since the m t a s contract with its large labor union local of the transport workers union expire in december,1
"it just cost us too much to offset the risk that the feds wouldn't pay on time. everyone knows they will pay, but they might not pay on time.",it just cost us too much to offset the risk that the fed would not pay on time everyone know they will pay but they may not pay on time,1
"it was supposed to do more, but because of the reagan administration's generally dim view toward subway extensions, there is a substantial question as to whether all of the planned 101 miles will be completed. there is no question that metro's schedule for completing the subway will be delayed.",it be suppose to do more but because of the reagan administration s generally dim view toward subway extension there be a substantial question as to whether all of the plan mile will be complete there be no question that metro s schedule for complete the subway will be delay,1
"new jersey's transportation trust fund, which pays for highway construction projects, is expected to run out of money next year. if that happens, critical transportation projects, such as bridge repairs, may have to be delayed.",new jersey s transportation trust fund which pay for highway construction project be expect to run out of money next year if that happen critical transportation project such as bridge repair may have to be delay,1
"shortly after his election in january 2010, gov. rick scott (r) suspended sunrail for review.",shortly after his election in january gov rick scott r suspend sunrail for review,1
"since 2001, the university's position has been that it wants a tunnel beneath washington avenue. if not that, then a detour around the northern edge of campus through dinkytown.",since the university s position have be that it want a tunnel beneath washington avenue if not that then a detour around the northern edge of campus through dinkytown,1
"the design delay squeezed the time for construction. making up time was tough, especially around an active railroad, say team members",the design delay squeeze the time for construction make up time be tough especially around an active railroad say team member,1
"the finished liner should create a tighter seal around the just-bored section of the tunnel. cournoyer says kiewit-shea anticipates that the change will delay boring operations for about a month, but should not delay the overall project.",the finished liner should create a tight seal around the just bored section of the tunnel cournoyer say kiewit shea anticipate that the change will delay boring operation for about a month but should not delay the overall project,1
"the latest budget increase request comes as metros washington seeks more authority to negotiate contract modifications without board approval. currently, any so-called change order of more than $1 million requires a board vote, which washington said can add weeks of costly delays to fast-moving projects.",the late budget increase request come as metros washington seek more authority to negotiate contract modification without board approval currently any so call change order of more than million require a board vote which washington say can add week of costly delay to fast move project,1
"the long-planned project almost was derailed by gov. rick scott,who delayed contracts for months while he studied it.",the long plan project almost be derail by gov rick scott who delay contract for month while he study it,1
"the other two disputes are civil rights complaints filed with the fta. although filed by separate groups last spring and fall, the complaints are related in that both allege the met council either didn't study or ignored potential 2010 is getting down to wire on central corridor; the next few months are critical to the progress of the light- rail project.",the other two dispute be civil right complaint file with the fta although file by separate group last spring and fall the complaint be relate in that both allege the met council either do not study or ignore potential be get down to wire on central corridor the next few month be critical to the progress of the light rail project,1
the two substructures were designed by separate los angeles firms. delon hampton & associates designed the retaining wall structure and benito a. sinclair & associates designed the equipment room.,the two substructure be design by separate los angeles firm delon hampton associates design the retain wall structure and benito a sinclair associates design the equipment room,1
well the concrete normally requires that you place it within one-and-a-half hours from when you leave the plant. the problem is the plant is not next to our site.,well the concrete normally require that you place it within one and a half hour from when you leave the plant the problem be the plant be not next to our site,1
"when the system was being planned, she said, ''the philosophy was that everything was in the central business district and the job was moving people in and out.'' but she added that ''the region grew in ways not envisioned by those planners.''",when the system be be plan she say the philosophy be that everything be in the central business district and the job be move people in and out but she add that the region grow in way not envision by those planner,0
"when you get near the end, you discover that some of the parts you had drawings for don't fit and you have to reconfigure the car to put everything on it, he said. that's not unusual for first-time builders.",when you get near the end you discover that some of the part you have drawing for do not fit and you have to reconfigure the car to put everything on it he say that be not unusual for first time builder,1
"""they more or less changed everything except a bridge and (some) crash walls.""",they more or less change everything except a bridge and some crash wall,1
"""we are insisting that all of this work gets done and that it actually works.",we be insist that all of this work get do and that it actually work,1
3 new subcontracts were issued to accelerate construction of the hato rey stations,new subcontract be issue to accelerate construction of the hato rey station,1
"a group of south pasadena residents filed a petition with the puc, demanding changes in route design, slower speeds and less noise from bells and horns.",a group of south pasadena resident file a petition with the puc demand change in route design slow speed and less noise from bell and horn,1
a planned grade crossing that became a point of contention threatening the opening of the los angeles-to- pasadena gold line was narrowly approved today by the california public utilities commission.,a planned grade crossing that become a point of contention threaten the opening of the los angeles to pasadena gold line be narrowly approve today by the california public utilities commission,1
a recent building boom further increased costs and strained skilled-labor availability.,a recent building boom further increase cost and strain skilled labor availability,1
"a tentative agreement was negotiated in december under which the federal government would pay two-thirds of the bonds and the local governments one-third, but the details have never been worked out.",a tentative agreement be negotiate in december under which the federal government would pay two third of the bond and the local government one third but the detail have never be work out,1
"abandon the project, the more likely scenario because of lukewarm community support and an inability to raise more funding.",abandon the project the more likely scenario because of lukewarm community support and an inability to raise more funding,1
"according to a release from metro, the agency will fill in the funding gap with a combination of savings from past projects and a $249 million grant that metro is hoping to receive from the state.",accord to a release from metro the agency will fill in the funding gap with a combination of saving from past project and a million grant that metro be hope to receive from the state,1
act signed an agreement with kkz for us$32mn versus an original $us80mn claim,act sign an agreement with kkz for us mn versus an original us mn claim,1
"advocates had feared it would be delayed several years after a puc law judge recently ruled trains must travel below a major intersection along the 13.5-mile route between east pasadena and downtown los angeles, agreeing with a citizens group.",advocate have fear it would be delay several year after a puc law judge recently rule train must travel below a major intersection along the mile route between east pasadena and downtown los angeles agree with a citizen group,1
"after a long period of delay, last month officials from new jersey transit released a draft of the latest revised plan for the proposed 10-mile extension of the hudson-bergen line[1], which now ends in north bergen",after a long period of delay last month official from new jersey transit release a draft of the late revise plan for the propose mile extension of the hudson bergen line which now end in north bergen,1
"after nearly two decades of delays, epa is set to impose construction bans or other harsh sanctions on communities that did not submit acceptable plans for control of ozone -- a major component of smog -- by the december 31 deadline.",after nearly two decade of delay epa be set to impose construction ban or other harsh sanction on community that do not submit acceptable plan for control of ozone a major component of smog by the december deadline,1
"allegedly caused by flaws in the project's design, plus skyrocketing material costs experienced during construction",allegedly cause by flaw in the project s design plus skyrocket material cost experience during construction,1
an interruption in that for any length of time of our federal funding would cause us to make tough choices between delaying projects and cutting back on service.,an interruption in that for any length of time of our federal funding would cause us to make tough choice between delay project and cut back on service,1
and because it was a design-build contract an atypical procurement approach for rail projects updating design wasn't easy.,and because it be a design build contract an atypical procurement approach for rail project update design be not easy,1
and that it would shut down if it couldn't find $117.8 million in additional funding,and that it would shut down if it could not find million in additional funding,1
"and they claim that reopening negotiations with the fta over that final approval - called the ""full funding grant agreement"" or ffga - would cause a significant delay in construction and cost the project and its financing money.",and they claim that reopen negotiation with the fta over that final approval call the full funding grant agreement or ffga would cause a significant delay in construction and cost the project and its financing money,1
another $22 million in contingency was used to buy 16 light rail vehicles from sacramento-based siemens transportation systems inc. officials said the vehicles were needed to allow three-car trains to run on the line.,another million in contingency be use to buy light rail vehicle from sacramento base siemens transportation systems inc official say the vehicle be need to allow three car train to run on the line,1
another obstacle on this project was the dispute resolution process drafted by the owner.,another obstacle on this project be the dispute resolution process draft by the owner,1
"as many as 200 major steps were involved in developing a transportation project, from the identification of the project need to the start of con- struction.",as many as major step be involve in develop a transportation project from the identification of the project need to the start of con struction,1
"at the time, opponents lawsuits already had delayed the construction start by three years, says honolulu authority for rapid transportation (hart) spokesman bill brennan.",at the time opponent lawsuit already have delay the construction start by three year say honolulu authority for rapid transportation hart spokesman bill brennan,1
"at this point, no modifications as to scope are possible and there is no funding uncertainty' that would change the project's key elements,' warner wrote.",at this point no modification as to scope be possible and there be no funding uncertainty that would change the project s key element warner write,1
"backers of the project say the democrat-led senate will temper budget cuts in the republican house, and a more likely risk is that drastic cuts would force delays in funding the project.",backer of the project say the democrat lead senate will temper budget cut in the republican house and a more likely risk be that drastic cut would force delay in fund the project,1
"beverly silverberg, a spokeswoman for washington's metrorail system, noted that the line to anacostia had been delayed by litigation over the route's terminus.",beverly silverberg a spokeswoman for washington s metrorail system note that the line to anacostia have be delay by litigation over the route s terminus,1
bland is hoping to get the additional cash from an $825 billion stimulus package proposed by president obama but yet to be approved.,bland be hope to get the additional cash from an billion stimulus package propose by president obama but yet to be approve,1
board members expressed concern that granting more leeway to negotiate changes could reduce transparency and add to cost overruns.,board member express concern that grant more leeway to negotiate change could reduce transparency and add to cost overrun,1
"brennan says station design changes added to the cost, as did a decision to relocate electrical utilities underground around the guideway structures to avoid clearance issues.",brennan say station design change add to the cost as do a decision to relocate electrical utility underground around the guideway structure to avoid clearance issue,1
"business owners and chambers of commerce had raised alarms when the assessments were initially proposed because businesses, already wincing under the sour economy, would have to endure perhaps years of disruption from construction in front of or nearby their establishments and the loss of most street parking only to be hit with the new assessments before the project is done.",business owner and chamber of commerce have raise alarm when the assessment be initially propose because business already wince under the sour economy would have to endure perhaps year of disruption from construction in front of or nearby their establishment and the loss of most street parking only to be hit with the new assessment before the project be do,1
businesses along central avenue in little tokyo convinced metro to tweak the plan--the agency rerouted the line around the corridor and found a different site at which to store the boring machine that will work under second street.,business along central avenue in little tokyo convince metro to tweak the plan the agency reroute the line around the corridor and find a different site at which to store the boring machine that will work under second street,1
but a report released june 29 on the sabo bridge breakdown said the effects of wind-induced vibrations of bridge cables were not considered in the original design calculations by urs.,but a report release june on the sabo bridge breakdown say the effect of wind induce vibration of bridge cable be not consider in the original design calculation by urs,1
"but a vocal number of anti-rail, pro-road activists decry that growth as a waste of taxpayers' money.",but a vocal number of anti rail pro road activist decry that growth as a waste of taxpayer money,1
but council members dan bostrom and lee helgen warned that they would be leery of supporting plans that essentially would raid city dollars normally en route to helgen's north end neighborhood or bostrom's east side communities.,but council member dan bostrom and lee helgen warn that they would be leery of support plan that essentially would raid city dollar normally en route to helgen s north end neighborhood or bostrom s east side community,1
"but duque said there have been ""14 years of planning and construction on that line"" and the separated crossing would create a ""$30 million additional cost"" and delay the project for up to two years",but duque say there have be year of planning and construction on that line and the separate crossing would create a million additional cost and delay the project for up to two year,1
but he added that planning a reroute away from washington avenue could add as much as $40 million to the project and delay the trains by as much as two years.,but he add that plan a reroute away from washington avenue could add as much as million to the project and delay the train by as much as two year,1
but metro announced in january[3] that relocation of track used by freight and metrolink trains and other obstacles would cause significant delays,but metro announce in january that relocation of track use by freight and metrolink train and other obstacle would cause significant delay,1
but more bothersome are the stated falsehoods about funding responsibilities.,but more bothersome be the stated falsehood about funding responsibility,1
"but the project has been dogged by political battles over its price tag, disputes over funding, and concerns about whether mwaa and other parties involved in its construction are doing enough to ensure passenger safety.",but the project have be dog by political battle over its price tag dispute over funding and concern about whether mwaa and other party involve in its construction be do enough to ensure passenger safety,1
"but to get there the city has to avoid being derailed by a prolonged environmental impact review, legal challenges or financing problems.",but to get there the city have to avoid be derail by a prolong environmental impact review legal challenge or financing problem,1
"but using fewer explosives may delay the tunnel for an undetermined time and add an estimated $ 5.5 million to the project's $ 126-million cost, he adds.",but use few explosive may delay the tunnel for an undetermined time and add an estimate million to the project s million cost he add,1
"charles stark, the director of the dulles corridor metrorail project, said the concrete used to build wall panels at stations on the silver line extension may be subject to a swelling chemical reaction that causes cracks and critical structural problems, wtop reported friday.",charles stark the director of the dulles corridor metrorail project say the concrete use to build wall panel at station on the silver line extension may be subject to a swell chemical reaction that cause crack and critical structural problem wtop report friday,1
"chicago, ill.-based walsh construction, which is building the east end of the line, has recorded $12.8 million in change orders.",chicago ill based walsh construction which be build the east end of the line have record million in change order,1
"citing the state's current budget crisis, the interagency committee on school construction, which requested $78.5 million in public school construction projects for fiscal 2004, has indicated it wants the state to focus instead on $260 million worth of projects that are already slated and awaiting funding.",cite the state s current budget crisis the interagency committee on school construction which request million in public school construction project for fiscal have indicate it want the state to focus instead on million worth of project that be already slate and await funding,1
"claims have averaged 7% of the contract price, but for 19 of the first contracts closed, claims averaged 12.6% above the original price.",claim have average of the contract price but for of the first contract close claim average above the original price,1
clara said there will be a lot of public comment on the remediation plan and not to expect rapid approval.,clara say there will be a lot of public comment on the remediation plan and not to expect rapid approval,1
"compressed air from the tunnel, he notes, should help the wells extract the fumes.",compress air from the tunnel he note should help the well extract the fume,1
connector work approved despite lack of funding,connector work approve despite lack of funding,1
"construction is inherently expensive in honolulu, due to lengthy approvals, high land costs and materials imported by sea",construction be inherently expensive in honolulu due to lengthy approval high land cost and material import by sea,1
"construction is inherently expensive in honolulu, due to lengthy approvals, high land costs and materials imported by sea, says general contractors association of hawaii president cedric ota.",construction be inherently expensive in honolulu due to lengthy approval high land cost and material import by sea say general contractors association of hawaii president cedric ota,1
"construction of the other sections covered by the other contracts did not proceed as scheduled and was consistently delayed for hundreds of days, the lawsuit claims.",construction of the other section cover by the other contract do not proceed as schedule and be consistently delay for hundred of day the lawsuit claim,1
"contractor dulles transit partners ""failed to achieve substantial completion"" of the initial 11.7 mile phase 1 of the silver line extension.",contractor dulles transit partner fail to achieve substantial completion of the initial mile phase of the silver line extension,1
contractors complained metro paid too slowly and dragged its feet on change order decisions.,contractor complain metro pay too slowly and drag its foot on change order decision,1
council member pat harris supports that idea and also said he wanted city staff to look at other sources of funding that could lower the total amount being assessed to business owners.,council member pat harris support that idea and also say he want city staff to look at other source of funding that could lower the total amount be assess to business owner,1
council member russ stark delayed approval of the plan for several weeks while city staff determined whether the payments could be delayed.,council member russ stark delay approval of the plan for several week while city staff determine whether the payment could be delay,1
"cournoyer says kiewit-shea anticipates that the change will delay boring operations for about a month, but should not delay the overall project.",cournoyer say kiewit shea anticipate that the change will delay boring operation for about a month but should not delay the overall project,1
"cournoyer says the extraction and ventilation effort, which will cost at least $ 500,000, should enable tunneling on both tubes to continue without delay when the second tube reaches the porous material, which is almost 1,000 ft long, later this month.",cournoyer say the extraction and ventilation effort which will cost at least should enable tunnel on both tube to continue without delay when the second tube reach the porous material which be almost ft long later this month,1
"crews have found several cavernous spaces during excavation that could be relics of the prohibition era, when hidden storage areas were used to hide liquor.",crew have find several cavernous space during excavation that could be relic of the prohibition era when hide storage area be use to hide liquor,1
"dave thune asked the city attorney's office to see if it were possible to assess more property owners downtown than just those whose land abuts the train tracks, which will run from the state capitol down cedar and fourth streets en route to the union depot in lowertown.",dave thune ask the city attorney s office to see if it be possible to assess more property owner downtown than just those whose land abut the train track which will run from the state capitol down cedar and fourth street en route to the union depot in lowertown,1
"delay for the environmental study, which could be as long as two years, would also risk pushing the project into a new funding cycle and the next transportation bill in 2009.",delay for the environmental study which could be as long as two year would also risk push the project into a new funding cycle and the next transportation bill in,1
"delay in congress funds earmarked for the completion of two north-south legs of the metromover in miami that would add 2.5 miles to the system have been held up in congress and local officials now believe it is unrealistic to expect the grants before the next decade, if then.",delay in congress fund earmark for the completion of two north south leg of the metromover in miami that would add mile to the system have be hold up in congress and local official now believe it be unrealistic to expect the grant before the next decade if then,1
"despite repeated warnings since 2010 about weaknesses in its staffing, the rail authority believed it could reduce overall costs by relying on consultants and avoiding a large permanent workforce.",despite repeat warning since about weakness in its staffing the rail authority believe it could reduce overall cost by rely on consultant and avoid a large permanent workforce,1
disputed issues held finished contracts open for years.,dispute issue hold finished contract open for year,1
"don bullock, manager of capital projects and construction for the transit district, agreed monday that the contractor has often been held up by design changes that are out of its control.",don bullock manager of capital project and construction for the transit district agree monday that the contractor have often be hold up by design change that be out of its control,1
"due to geological conditions, the cut and cover excavation method was used, followed by the transport and disposal of approximately 400,000 tons of soil and 40,000 tons of rock/concrete debris which was equivalent to 22,000 trucks of material taken to various disposal facilities in new york, new jersey and pennsylvania",due to geological condition the cut and cover excavation method be use follow by the transport and disposal of approximately ton of soil and ton of rock concrete debris which be equivalent to truck of material take to various disposal facility in new york new jersey and pennsylvania,1
"due to right-of-way issues, the completion date for nerl mos i is estimated to be about 8 months later than the date required by the ffga and the costs are likely to be higher than budget.",due to right of way issue the completion date for nerl mos i be estimate to be about month later than the date require by the ffga and the cost be likely to be high than budget,1
"earlier this month, council members reluctantly approved $2.9 million to cover design changes at lake street and several other locations along the light-rail route, which will connect downtown minneapolis and the mall of america in bloomington.",early this month council member reluctantly approve million to cover design change at lake street and several other location along the light rail route which will connect downtown minneapolis and the mall of america in bloomington,1
educate project participants on the use of dispute resolution boards timely decision-making and claims resolution are key factors in keeping transportation construction projects on schedule.,educate project participant on the use of dispute resolution board timely decision making and claim resolution be key factor in keep transportation construction project on schedule,1
"even if metros directors approve the $199-million increase, crews will face an aggressive schedule to meet a may 2021 construction deadline set by federal officials.",even if metro director approve the million increase crew will face an aggressive schedule to meet a may construction deadline set by federal official,1
"extensive relocation of low and high pressure con ed gas mains, and relocation and/or protection of existing new york city water and sewer mains.",extensive relocation of low and high pressure con ed gas main and relocation and or protection of exist new york city water and sewer main,1
"faced with that challenge, horodniceanu said they once again had to use technology to get creative.",face with that challenge horodniceanu say they once again have to use technology to get creative,1
failure to apply those federal standards universally could result in a lawsuit by the citizens' group for $220 million in damages and a halt to the expansion of the gold line into san gabriel valley east of the current terminus in arcadia.,failure to apply those federal standard universally could result in a lawsuit by the citizen group for million in damage and a halt to the expansion of the gold line into san gabriel valley east of the current terminus in arcadia,1
"federal agency withholding $66.5 million from sprinter federal authorities wanted the trains transported on a u.s.-flagged vessel, but made the request after a contract had been let with a foreign shipping company, king said.",federal agency withhold million from sprinter federal authority want the train transport on a u s flagged vessel but make the request after a contract have be let with a foreign shipping company king say,1
"fifteen years of construction delays, accidents, cost overruns and a changed political climate have led voters to block further use of local sales tax revenue for subway construction, and forced leaders to look elsewhere for mass transit solutions to growing problems with traffic and urban sprawl.",fifteen year of construction delay accident cost overrun and a change political climate have lead voter to block further use of local sale tax revenue for subway construction and force leader to look elsewhere for mass transit solution to grow problem with traffic and urban sprawl,1
followed by the news that the project could run up a $552.8 million bill because of inflation in the construction industry,follow by the news that the project could run up a million bill because of inflation in the construction industry,1
"for example, the transit district was unable to finish designs for a new railroad crossing at escondido avenue in vista, holding up construction in the area while engineers re-do their work.",for example the transit district be unable to finish design for a new railroad crossing at escondido avenue in vista hold up construction in the area while engineer re do their work,1
further delays for safety checks would be nothing new to the gold line.,further delay for safety check would be nothing new to the gold line,1
further evidence of transit authorities' inability to deal with this century-old technology was revealed in an la times editorial just this morning,further evidence of transit authority inability to deal with this century old technology be reveal in an la time editorial just this morning,1
"glendening, a democrat, is studying whether to designate the potomac river crossing of interstate 95 a project labor agreement, a step which could spell out wages, benefits and a guaranteed role for unions in the huge public works project.",glendening a democrat be study whether to designate the potomac river crossing of interstate a project labor agreement a step which could spell out wage benefit and a guarantee role for union in the huge public work project,1
"hart has pointed to early lawsuits that pushed the project into a punishing construction market as the main problem, but the public has never received a full reckoning of what went wrong.",hart have point to early lawsuit that push the project into a punish construction market as the main problem but the public have never receive a full reckoning of what go wrong,1
he also cited cost savings and job creation numbers which can be derived through making the environmental review process more productive,he also cite cost saving and job creation number which can be derive through make the environmental review process more productive,1
"he charged that the grants were merely a ""thin disguise"" for future cuts in social programs.",he charge that the grant be merely a thin disguise for future cut in social program,1
"he noted that much of the sprinter's original design, as created by the north county transit district, which owns the rail line, has had to be redone as errors are regularly discovered.",he note that much of the sprinter s original design as create by the north county transit district which own the rail line have have to be redo as error be regularly discover,1
